"FmcO7b","vWB2ve","T7nuU 2","gjvCCd"
"Keith Slaughter","a year ago","Experience platforming perfection, with a solid mix of puzzle solving. Prince Of Persia (POP) The Lost Crown is hands down the best POP game since the Sands Of Time. The art style if fantastic! This is POP with a Souls/Metroidvania twist. I haven't had this much fun platforming since the good ole' 16bit days! This is a must have for any fan of the genre or any fan of the POP series! Ubisoft worked magic on this one!

-----Rustikvane----BLK Gamer----","5 people found this helpful."
"Alireza Daneshvar","a year ago","The game is very well made, the variety of stages and geographical locations that exist makes it possible to entertain the player for hours. Iranian mythology and Shahnameh and ancient Iran are used, which is very attractive and fresh. Ubisoft should give these stories and this game of history Iran more maneuvers and I am waiting for more games. The Persian dubbing used in the game made the game very interesting and exciting. I thank Ubisoft for creating such a masterpiece.","1 person found this helpful."
"Fahad Nadeem","a month ago","One of the best metroidvania games I have ever played. This game has plenty of playtime, amazing art style and levels that will challenge you to your wit's end. The various puzzles in the game are clearly designed and as you progress through the game, new abilities help you unlock new puzzles. Got this game reduced in September 2024 and it probably the best value for money game for me that year.","Was this review helpful to you?"
"Brian Hardwick","a month ago","Loved this game!  Best side scroller I’ve ever played.  The gameplay is fast and fluid, and good balance of parkour and fighting challenges.  I really wish this game performed better than it did in the market.  Such an easy to pick up title packed with fun front to back.  Please make more games like this!","Was this review helpful to you?"
"Omar Zarzour Zamora","5 months ago","Story is okay, but what really shines is the smooth gameplay. It could be a difficult game at times. But that’s what I really enjoyed. It’s full of platforming like Ori, lots of punishing boss fights (you’re gonna sweat).  Great and smooth combat mechanics, and nice puzzles that keep everything interesting. It never feels repetitive. Spent more than 30hours in this game and I give it a solid 9/10","Was this review helpful to you?"
"Beau Sierens","a year ago","This was a fantastic game, marred somewhat (PS5) by many very distracting bugs.  Easy 5 star once the bugs are dealt with.  Smooth controls.  Amulets offer flexibility in how you want to power up Sargon and tailor the fight to your style to an extent.  Combat and boss fights were enjoyable-- although I found the parry pretty unforgiving outside of the first few bosses.  I experience several near game breaking bugs, though-- more than I have ever experienced in a major release, and that was didappointing.","Was this review helpful to you?"
"Mark Boutros","a year ago","A brilliant metroidvania. Great combat variety, interesting puzzles, and side quests that don’t get repetitive. It innovates the genre with great storytelling and unique abilities, and has a good run time to get your money’s worth. 

If you’re a fan of platformers, action-adventure, metroidvanias and games like Hollow Knight, Dead Cells, the Ori series, and the Last Faith, you’ll love this.","Was this review helpful to you?"
"mani mughal","a year ago","This game delivers an immersive narrative, weaving intrigue and strategy seamlessly stunning visuals and intricate level design create a captivating fantasy world Players will find themselves challenged by clever puzzles that enhance both wit and reflexes The character development is rich, making you emotionally invested in the protagonist's journey.
With its engaging storyline and polished gameplay, this title is a crown jewel in the realm of interactive adventures","Was this review helpful to you?"
"Gilles Sooben","3 days ago","I am a gaming veteran who's not afraid of trying a boss fight 100 times over if I see that there's a point to it and that I stand a chance if I just gid gud as they say. The Lost Crown has one boss fight in particular that is so ridiculously hard that after a dozen attempts I thought to myself ""This isn't worth it."" The concept of Balance totally eludes Ubisoft and it is painfully obvious in all their games really. Whether it's difficulty, map size, amount of content, it's always out of whack and this game is no exception. It's a real shame too because the game mechanics here are really good and some puzzles are very cleverly designed.  But Ubisoft once again gets in its own way.","Was this review helpful to you?"
"Nino Miškulin","10 months ago","I will never undestand games like these. It is a fun idea, but in the end it failed. When you die, and you die all the time because your character is as strong as a paperboat, you get respawned 10 minutes away from the places you died. You have to walk all the way back doing stupid and broken platforming that you did 150 times before. Boss battles are terrible, not because they are difficult, but because you need to die 50 times in order to remember all their moves so you can counter it. In other games that had hard bosses like say Stellar Blade, there is a chance for you to defeat it at first try if your skill is good enough. In this game, your skill doesn't matter at all, because there are no skills that you can learn. Its just 5 moves you need to do and each counters one specific attack of the boss. Its not fun, because everytime you face a boss, you know that you will die 50 times untill you learn what to to against it. Awful, awful game. Played it for about 15 hours and then deleted it and threw it in the trash can.","7 people found this helpful."
"Xhuljano Racaku","a year ago","This game is behind my expectations. Stunning graphics and engaging gameplay. I would say the best 2D action platform we game so far. The game offers a visually impressive and enjoyable experience. A worthy addition! I played the game straight 8 hours first day it came out, that’s how good it is.","3 people found this helpful."
"ExOtic KHaN AAriF","8 months ago","The game is great but it's very tough even at easiest difficulty! The map is very huge and complex and thus you have to go through multiple paths to find the right path that leads to the main quest location. Also there are some platforms that are really tough to clear but thankfully there is a platforming assist option in settings which let's you skip challenging platforms. Enemies and boss fights are also tough  to fight with and you have to die multiple times to observe there attacking moves and then you can successfully dodge and defeat them. Overall a very fun and challenging game combat is good and map is huge and exploring it is equally fun and challenging.","Was this review helpful to you?"
"Jonathan Martin","a year ago","I'm only on the Demo while watching my sons tonight.  But I like the Fluidity of the game play and it surprises you, with new enemies to fight to keep the game moving along.  Very Smart move, the gaming industry is getting a little ripe with most game going Open world with Leveling up as it's mode of Excitement.  Bring us new new.  Do you know what I mean.  Also thankful for the Industry.  I'm an OG started on Nintendo Excitebike.  Blessed Be.","Was this review helpful to you?"
"Ezra Tatnall","a year ago","I’ve been exciting waiting for this came to come out for a while now. But boy when I got it, was I happy to see an amazing mythology mix with the smooth controls. It skyrocketed beyond my expectations. I hope you all have as good as a time I’m having with it.                                            P.S                                                           Great game for speed-runners if you like doing that.","Was this review helpful to you?"
"bryan buck","a year ago","This game is awesome. The setting is great and rendered in a cool style with nice attention to detail. The level design is nothing too special but fits the bill for a great Metroidvania. The combat, though, is the real high point. So many combos, lifts, finishers, etc. it just feels great. A really solid Metroidvania.","Was this review helpful to you?"
"bret hurt","a year ago","Dark Souls meets Metroid-vania.  Probably would have enjoyed it more if i noticed the custom difficulty settings earlier.  Game is surprisingly challenging.  Bosses may take a handful of tries to defeat.  Damn near lost my mind w/ a couple puzzles b/c they leave very little room for error.  When this game goes on sale (say $20-$30) it'll be a must buy.","Was this review helpful to you?"
"Kushagra Kirpal","a year ago","I give this game 5 stars because of following reasons:
1. Its a 2.5 D game and I think that after playing proper 3D games from past few years, this game brings a change to my gameplay experience and its quite exciting.
2. This game never bores. The combat gives adrenaline rush. 
3. Its not too easy. Some of the hurdles are challenging.
4. I like the graphics and what happens over the background is quite catchy.
Must buy game.","Was this review helpful to you?"
"Gerren Thomas","a year ago","Remarkable Metriodvania style side scrolling adventure game that pays homage to it's roots featuring fluid melee and ranged combat, impressive powers, stunning visual effects, driven by a great story, plenty of rewarding side quests, excitingly challenging boss fights and top-notch sound and voice-overs delivers one of the BEST games of 2024! A must own on any platform of your choice!!","Was this review helpful to you?"
"Dale Hall","5 months ago","I love a good metroidvania, so when I saw this in previews I thought I'd like it but I think this could be my favourite one yet. Great story, game play gets better and better as you unlock more skills, graphics are great but the jumping puzzles are the highlight, because the movement in this game is so fun but unforgiven, get good or suffer! 10/10.","Was this review helpful to you?"
"Juan Ayub","5 months ago","For me, this is one of the contenders for GOTY. 
Fun, fast, action driven, and made me wanted to platinum the game since I've started.
Controls feels great, graphics are adequate, at some points it can look beautiful.
Story is ok, but gameplay is top notch.","Was this review helpful to you?"
"Saif Ansari","a year ago","This is what was missing since the stories stopped after the two thrones. What an amazing story and gameplay. I will remember this forever and I'm saying this now, a live action of this is in our future (Simurgh showed it to me). For when, only time will tell. Maybe I will be the one to produce it and make it happen. I would really give it more stars if I could.","Was this review helpful to you?"
"Valentin Naïdja","9 months ago","I had no expectations but man that was good: the characters, the atmosphere, the story, the gameplay...and the landscapes and environments are very beautiful. The fighting and the handling are always fun. The intense platformingnpart never felt gimmicky. They always felt fun and something you just want to nail.
Congrats to the team who worked on this beautiful and fun game :-)","Was this review helpful to you?"
"Anh Le","9 months ago","The game was excellent. Truly tested my platforming, puzzle solving and combat skills. Every action was the result of a deliberate control input. 

Atmospheric storytelling was greater than expected alongside solid storyline. The map design was outstanding. 

Definitely worth a go if you're a decent skilled gamer.","Was this review helpful to you?"
"andrew merritt","a year ago","Very fun, interesting/cool game. And I don’t even usually like side scrollers. My one con is that it’s HARD! I’m playing on just the normal difficulty. I’m good at platforming and hack/ slash games. But some of those boss battles are ridiculous. Plus, when you spend ten minutes and die and have to go all the way back through the map is very frustrating. Usually my wife and I play games like this together but it’s WAY too difficult for her. And I refuse to play anything below “normal.” Maybe I’m getting old…","1 person found this helpful."
"darren g","a year ago","I've played almost every iteration of the Prince of Persia games. I didn't expect to like this one going in, mainly because I didn't look forward to the 2-d style again. I was really surprised how much I enjoyed it, and even though it was 2-d it honestly felt as though I was playing a 3-d game. There was nothing flat feeling about it. The map was expensive, characters and enemy variety was good, and puzzles and obstacles were challenging. I really enjoyed this game.","Was this review helpful to you?"
"Derek Couto","a year ago","When this game was announced, I'll be honest, I did not have high hopes it would bring me back to the PoP games I played growing up.  I will gladly admit, I was wrong in my assumption because this game is not only different in it's own way, but it has the same challenges and puzzles I would expect from a PoP title.  Is this the best game in the franchise, I wouldn't say so because there's so many good ones, but this game pleasantly surpassed my expectations.  Imagine Prince of Persia and Metroid had a baby...*****","1 person found this helpful."
"Kelly Murphy","a year ago","A side scroller.  A side scroller... I about lost my mimd when I found that out.  And then I find out that I don't get to stop time.  The whole point behind Prince of Persia, the whole premise, the whole idea, the meat of what made this franchise great was manipulation of time and they dropped it.  Like a bunch or rich, super smart men and women sat around a table, and said hey, let's just do a linear side scroller, let's ditch the whole time mechanism and we'll just do a button masher.  And these idiots patted each other on the back and charged me $65 for this flop of a game.  I played it for an hour and Uninstalled it.  Game Stop gave me a measley $22 for the trade in value.","8 people found this helpful."
"Mike Rasmussen","a year ago","Great game! I have played a lot of Metroidvanias and this is one of the top! Great combat and challenging platforming.

If you have played Hollow Knight play the game a step above the base difficulty off the bat to make sure it is a challenge. You will not be disappointed.","1 person found this helpful."
"Luke Kaps","a year ago","Thank god they there was a demo. And it shows why they did that because once you start to play you’re hooked. I loved the demo on my p5 but I ended up getting it for switch. This game is amazing and if you need something to play i think anyone would have a good time","Was this review helpful to you?"
"Sina Jafarpour","a year ago","This game has tried to remain loyal to all previous Prince of Persia Games (as their footages are visible throughout the game), while not being afraid of taking bold novel risks. good use of Persian mythology, good combination of 2D puzzles and diverse combats with good quality graphics . could have worked more on the depth of the storyline and the game control could be a bit overwhelming with back to back traps unless if highly used to it.","Was this review helpful to you?"
"Pejman Mashouf","a year ago","In my opinion, this can be one of the nominees of the game of the year and even the winner of it. Amazing story, Brilliant quality and simply the best souls-like, metroidvania game EVVEEERRRRR. Details are amazing, the map is really beautiful and quite big. Historical details are fantastic and simply the best Prince of Persia game till now. 10/10","6 people found this helpful."
"Stanley Barreto","6 months ago","Great game! honestly alot of fun and the bosses can be tough which is great as it forces you to up your game. Really happy I got the game as was nervous at first since never trying any other game in the prince of persia series.","Was this review helpful to you?"
"Trevor Dillabaugh","7 months ago","Great game, but the level of difficulty on the platforming puzzles is beyond my abilities. Split second timing, millimeter precision and restart from the beginning every time? Sorry. I bought the game to relax and have some fun. Even with all of the settings as easy as possible, I've been stuck for two days trying to retrieve the third feather. Oh well.  I'll just have to watch some streamer to see the rest of the game, I guess. Too bad. I'll have to play Sands of time again if I want my PoP fix. Beautiful game. Gameplay great. Difficulty too high.","Was this review helpful to you?"
"puriya payamshad","9 months ago","Hey guys 
I'm finished the game 10 minutes ago. 
I really love that .
It's very nice game (dialogs gameplay puzzle)
 every things in game was good.
I suggest to you play this game its very joyful. 
Thanks for reading my review.","Was this review helpful to you?"
"Jeremy Wishon","a year ago","Playing on Nintendo Switch 
Okay, I had to take one star away from my review, because,  although I think this game is amazing, they really need to fix all these bugs I keep running into. If the save system was a little better, it would be less worrisome, but I'm definitely being careful not to play too long without copying my save five just in case something happens and ruins hours of my progress. So far, the game has glitched out probably 4 to 5 times. Please fix the bugs so I can put you back up to 5 stars where this game belongs...","1 person found this helpful."
"Fardin Ahrari","a year ago","I love the Prince of Persia game and also the previous games in the series, by the way this game was the reason that Assassin’s Creed games came into existence, the voice acting of this game is very beautiful with Persian voice, but I think unfortunately this game did not have enough budget and has very low graphics, it seems like the game is for 2004 not 2024! Also I really liked this game to be third person 3D instead of 2D I hope in the next series more work will be done on this valuable game that many people like me know Ubisoft with this game","6 people found this helpful."
"Johnny Wright","a year ago","I am a fan of all of the Prince of Persia games and they just seem to get better and better. If you look at it like I did as a fan of the past games it was a big let down but if you look at it as a deferent game entirely it is a pretty decent game. I would recommend it but don't go in it thinking it is like the next chapter because it's not! It is an entirely deferent game and I was just disappointed,  so disappointed!","6 people found this helpful."
"D Nickerson","a year ago","ITS 2024? 2D graphics should be left in the past. I tried playing the game and kept falling asleep.  The game feels like it should be  19 dollars. It lacks the ability to let you immerse yourself in the game. It's really feels like super Mario with the cheese graphics. Those game will be forgot about in 3 months. There alot of good games dropping this year. As for this game it gets a solid 5","5 people found this helpful."
"FatBibbyTheGamer !","a year ago","I love it!! It’s better than Hollow Knight it’s Challenging like a Souls Game Yet Fun and Engaging  enough To Keep Playing Over and Over Until You Get It Right! Highly Recommended This Game Is One Of Them Ones!","Was this review helpful to you?"
"Aitza Figueroa","a year ago","Great game I love it but  just mad that there are  glitches in this game. So far I came across two… one of the challenges when training with Artaban  there’s one where you’re supposed to recover after a projection and couldn’t land the move til after resetting the game it finally happened. The other is when your in the captain’s lair and have to recover his parrot 🦜 but after rescuing it, sits there in the air and can’t complete the mission and unless u didn’t save the game afterwords u can’t redo it. So unless the glitch is fix you have to start the game all over…this is on my Nintendo switch","Was this review helpful to you?"
"Andi Bier","9 months ago","Fun, deep combat mechanics, proper difficulty, sprawling maps and a lot of platforming. It has all you want from a great metroidvania. It's definitely up there in my top 10 list of greatest metroidvania I've played.","Was this review helpful to you?"
"Sukesh Marla","a year ago","What a pathetic game….in the world of high graphical 3D games its 2d game. I pre ordered it as I was a big fan of previous pop games and I was so excited. Today started playing and what a money waste. Even no option to get refund. 

Really disapointing ubisoft

@PlayStation @PlayStationIN assiste us.","9 people found this helpful."
"Anne Ritchie","a year ago","It's a fighting game hidden inside a metroidvania, and very frustrating for those of us who don't particularly like fighting games and all of those stupid combos. I bought the deluxe version so that I could play it early on MLK Day when I was off and got no enjoyment from it on normal mode. Today (a snow day), I'm finding easy mode not that much easier and I'm considering returning it before my time is up in the Epic store. Consider me frustrated.","5 people found this helpful."
"Em Rees","a year ago","Brilliant!  If you are a prince of persia fan you will love it.  I found that it was prince of persia meets Super Metroid the way the map works and finding more powers.  Just brilliant.","Was this review helpful to you?"
"Saeed Tavoosi","a year ago","One of the best game I ever played. It has a long gameplay time and very nice story.
Thanks Ubisoft for Persian audio and Persian subtitle. It makes game more valuable for me.","Was this review helpful to you?"
"Sadra Ahadiyan","a year ago","Wonderful gameplay and also very professional persian(parsi) dubbing,
I can feel the characters feelings through the dubbing they did and great acting.


Can't wait for more persian culture!
Great work ubisoft.","1 person found this helpful."
"S WAR","a year ago","simply 9,5 out of 10 
the story is simply very good also like other elements of the game , but you need to familiar your self first with at least surface level mythology of The Ancient Persians and the even the story becomes something very strong and beautiful and yet very similar to other Prince Of Persia games","Was this review helpful to you?"
"ZaZa Maza","a year ago","What a game . Didnt had this much fun since the good old days . I really recommend this one to anyone trying metroidvania like games and anyone trying to have a fun gameplay . 
Cheers","Was this review helpful to you?"
"Luis Val","a year ago","What can I say. Just an overall great game. Challenging and frustrating at the same time. Keeps bringing you back to finish the challenge. Amazing game. Would love more of this.","Was this review helpful to you?"
"Shawn Fields","a year ago","One of the best games I've played in a long time. I've been waiting on a good game to play for a while and this one hits the spot. 5 stars for this one.","5 people found this helpful."
"Christopher Morkel.","a year ago","It's a good side scroller, but honestly as someone who's been playing this game since 2005, I'm disappointed that they went backwards, Ubisoft could have used the same engine that's in assassin's creed mirage/Valhalla and given us something good. These style of games feel lazy. Why am I paying a premium for an outdated side scroller. They've left too much to the imagination here.","2 people found this helpful."
"ItsMeJon","4 days ago","Almost perfect to play Sargon controls perfectly in a fashion only duplicated in Rayman legends it's fun to explore HOWEVER parrying just works when it feels like it and of course basic enemies can do tons of damage so you have to grind to buy upgrades to get more health and perks etc which is a complete chore and once you get to the forest queen boss it's over the boss is so unfair it just ruins what was a fun game and ubisoft will probably never fix it balance it out so that's another one down the pan, you know it's hard when there are metroid dread and  Elden ring vets complaining about it...and yes forest queen is worse than metroid dread's final boss.","Was this review helpful to you?"
"H X","a year ago","Truly amazing game with catchy story and a salute to the rich history of Persia. The Farsi/Persian language option was groundbreaking to allow experiencing the game in native language. Unisoft, please make more games from rich Persian and Iranian history. How about an Assassin’s Creed game?","Was this review helpful to you?"
"Angel Paz","a year ago","26% into the game. Didnt care much at first, then i started to really enjoy the game. It seemed very simplistic and basic. The map reminds me alot of metroid. It really feels like a throwback to Nintendo or sega. Now i find myself addicted to this game.","Was this review helpful to you?"
"Robert Headley","11 months ago","I personally love the Ubisoft open world formula used by Assassin's creed and Farcry, but this... this is a very solid metroidvania developed by the Rayman team. This is a great game, everyone who likes metroidvanias needs to play and own this one.","Was this review helpful to you?"
"Mohamad El-Husseini","4 days ago","Had a blast playing this game. Crisp controls, rich, fast paced combat, lots of exploration, optional challenging platforming, and amazing lore to boot. Pleasantly surprised.","Was this review helpful to you?"
"Elee ABOU-HAILA","4 months ago","it such a good game the graphics and controls are so awesome!

the powers you get that you can use are so cool.

definitely recommend playing this game. (:","Was this review helpful to you?"
"garry fletch","a year ago","Woke game. There sales are terrible and I'm not surprised. They changed the main characteristic with an unknown character that does not fit the time period. People want to play the main character without race swapping. The trailer rap music was  trash and kept the game from selling. Lost half its fans right from the beginning.","4 people found this helpful."
"jon s","a year ago","Anyone who reviews this as an amazing game is definitely brain dead. Perhaps this is for more elementary gamers cause within 5mins I had this out of PS5 and back in the case for an immediate return. This is an embarrassment, come PS5 step it up with better games for the price that u gouging us. Disappointed.","8 people found this helpful."
"Majed Azzam","7 months ago","A frustrating, unnecessarily difficult game with insufficient save points. This game stressed me out! It’s hard to believe developers are still putting out games like this in 2024! The game design, and the mechanics that work against you, feel like a something out of the 90s!","2 people found this helpful."
"Horațiu Stanculescu","10 months ago","It reminds me of the mobile POP games I played in the late 2000s. Only nostalgia remains. 
Cons: way too hard. No fast travel option. Enemies respawing in the places i've visited before. Too long and not even 8% in i gave up. Next!","Was this review helpful to you?"
"Andrew Klismith","a year ago","Prince of Persia: The Lost Crown is a great video game! I believe you will enjoy it if you like Hollow Knight or Metroid Dread. (This game is the most accessible of them.)","1 person found this helpful."
"Zaid Duwayri","6 months ago","I’m a fan of the assassins creed games and picked this title because I had played the original PoP when I was younger. This is a great production. Very rich and entertaining.","Was this review helpful to you?"
"Suk Tuck Ng","a year ago","Best! It starts kinda slow. But after few hours into the game, I am fully hooked. Now I am addicted lol","1 person found this helpful."
"Nick Alan","a year ago","Great game and platinum was just right. The only complaint are the Athra dragon ball-z style animations during these moves..they are cheesy and unnecessary. I hope a sequel is in the works.","Was this review helpful to you?"
"Queen Dee","a year ago","Complete waste of my money, i never thought id see the demo version of pop be remade like this😭 i dont understand why Ubisoft would do this and not just finish the remake of sands of time😭 i was very disappointed to have no camera angle no control over seeing surroundings witch makes getting through puzzeling levels of the game is very hard and requires too much thinking😭 please just finish remaking the sands of time😭 its very much over due😑","3 people found this helpful."
"M “Cornhusk” R","a year ago","Honestly really enjoyed the game. Challenging and smooth controls. I did get it on sale...
Don't play it if you're not into 2d.","Was this review helpful to you?"
"Gaurav Verma","a year ago","I didn't thought that platform games could be this much interesting... Amazing game... I was expecting 3d POP ....But this's also amazing.. POP Franchise Forever ♾️","Was this review helpful to you?"
"Brian Thomson","a year ago","Love the game! Controls are smooth and the combat fun. Definitely feels like a classic metroidvania. Pick this one up!","2 people found this helpful."
"Phenome nal","a year ago","So far one it's the best of Prince of Persia series made by Ubisoft. 

Ubisoft is a great company who makes a great graphics video games under reasonable size.","Was this review helpful to you?"
"Jared Oprean","a year ago","Arguably one of the best Metrovania games ever, and very challenging. If your a prince of persia fan at all then it's a must play!","Was this review helpful to you?"
"Joseph Berryman","11 months ago","Were do I stand the game is not bad but the thing for is I've be thought the map and the places I need to get to I can't because I don't have the right Ability but of course it's nothing but back Tracking. Over and over and the sad thing is it's not a bad game  but all this back tracking make it a bad game  so a Scale off 0 our of ten I can only give this game  a 2 out of ten","1 person found this helpful."
"Shannon","7 months ago","This game is one of the worst POP. Thank God I played the demo first. Those real fans who commenting one star are the true POP fans and those rated 5 stars are just FOMO 🔥 💯","1 person found this helpful."
"jason smullin","a year ago","Being a big prince of Persia fan that is anxiously awaiting the sand of time remake, I love this game. Really fun I highly reccomend this game.","Was this review helpful to you?"
"kevin phillips","a year ago","The requirement to login to Ubisoft to play and their privacy terms include selling your information for profit is absolutely terrible. This should be illegal. 

Don’t buy this or any Ubisoft game. I’m deleting the one I just paid for and getting a refund.","11 people found this helpful."
"Mark Rainforth","a year ago","Just started playing it so far I think it is really good right now only gave 3 cos I only got a day a go so I will see in the next few days then I might give it a better score later","Was this review helpful to you?"
"Steven Fierro","a year ago","Didn't think I would actually get hooked into playing HOURS of this game, it's fantastic, the combat is amazing, the story is good, definitely glad I picked this game up 100%","Was this review helpful to you?"
"nikhil sivadasan","a year ago","The game is disappointingly poorly executed, a shame considering the creators haven't mastered the use of movement controls. Playing it is a challenge, and it tarnishes the gameplay despite the promising art concept. There's much to be learned from previous versions in terms of user-friendly controls","2 people found this helpful."
"Mr.Y Hatmi","9 months ago","Such a nice and smooth game.
Unlike older prince of persia this one really showed the IRAN (Persia) mythology and history and also support persian language.","Was this review helpful to you?"
"Anthony Cruz","a year ago","Love this game so far what a banger of a game. I don't usually do reviews for anything but this deserved the 5 stars what a gem!","2 people found this helpful."
"Malik Zeeshan","a year ago","Best Game 10/10

Story is good graphics are better and art work is amazing 

This game reminds me of Ori and the Blind Forest Same idea but with better story ..","3 people found this helpful."
"Patrick Baugher","10 months ago","It doesn't hold any water to the first ones. They remade a great game into an ""eh its OK"" game. Not happy with the new rendering.","1 person found this helpful."
"James Moon","a year ago","Super duper well done. Fun! Fun! Fun! Great controls, fluid combat, and expertly captures what makes Metroidvania types so great.","1 person found this helpful."
"Mohsen _","a year ago","Thank you Ubisoft for this awesome game. I am Iranian myself and I enjoyed this game completely
I am really speechless about the Persian dubbing and soundtrack","Was this review helpful to you?"
"Exodus Tabs","a year ago","Unbelievably good. Didn't expect this from a side scrolling 2D platformer. Reminds me of the old days of having a great time.","4 people found this helpful."
"Aizah Kirmani","a year ago","I was not expecting something this good tbh. Love the characters, and that makes or breaks a game for me","Was this review helpful to you?"
"Bruce wayne","a year ago","Loved the gameplay art style the parkour is just amazing in this game and challenging also solid 9/10 the solid part where it is not as great is story other than that game is amazing","Was this review helpful to you?"
"carluss tomlinson","7 months ago","Worst game ever. I tried because I thought it would be fun but after some hours of playing. I found that most of the areas that have treasures  were set to be 99.99  impossible to beat and just a waste of time and made the gameplay just unbearable","Was this review helpful to you?"
"Miguel paredes","a year ago","I believe this is an amazing game! It’s Very challenging I almost never play video games but this one got me","Was this review helpful to you?"
"danny carr","a year ago","Just great.  I hope they keep this side scrolling platforming as a regular to go alongside the 3D versions in the future.","Was this review helpful to you?"
"jiamoji j","5 months ago","This game was really great but Ubisoft neglected it for money ..... I feel really sorry for Ubisoft for not having any respect for its fans. They are just looking for money. I hope they go bankrupt as soon as possible with the garbage games they make.","Was this review helpful to you?"
"Michael Mcalister","a year ago","Can't belive the dev team is facing layoffs after creating a very solid game in an age where trash sells. Might be time to put the games down. Hope this doesn't kill the sands of time triogly remake.","Was this review helpful to you?"
"John Freudenberger","a year ago","The game is 2D and I had a lot more fun with the Prince of Persia from PS3. I couldn't play this for longer than a few minutes and every minute I wasted I felt the pain of the money I wasted on it.","10 people found this helpful."
"Munkhdemberel Lhaijav","2 months ago","It is the best PoP game played lately, It has good gameplay, but when it began it felt a little bit frustrating cause of some challenging fights and hard platforming, once you reach some level and progress it turns out to be the best experience.","Was this review helpful to you?"
"eddie poultney","9 months ago","This game has been pretty solid. I can’t say it’s a 5 star game. I’d say 3 and a half for sure but can’t give half stars.","Was this review helpful to you?"
"James Michle","a year ago","This is how you make a video game, pure original entertainment with proper meaningful story. We have to see the journey of Sargon in 3D, perhaps in a sequel.","Was this review helpful to you?"
"Joe Vieth","a year ago","Fun game that reminds a little of the older Ninja Gaiden games. Not as hard as NG but really fun.","Was this review helpful to you?"
"Sebylita Aura","a year ago","Best version yet in modern times - been playing this game for 35 years - it is a classic that will forever live in my heart.","Was this review helpful to you?"
"parham kouhestani","a year ago","Persian dubbing and ancient Iranian symbols were well used in this game. It was a pleasant experience, I hope this game series will continue","Was this review helpful to you?"
"Mass Dupp","a week ago","Top 3 metroidvanias ive ever played!
Right up there with hollow knight. Hollow knight is king but this sits right behind it.","Was this review helpful to you?"
"Sameer Al-Ghamdi","11 months ago","Prince of Persia: the lost crown was more than awesome 👏 if you liked hollow knight then this game is definitely for you","Was this review helpful to you?"
"Ahmed Salaheldin","a year ago","if you think you will ever get a souls like 2.1 D game that is time traveling and also tells a wonderful story your not wrong this is it","Was this review helpful to you?"
"Axion","3 months ago","just amazing. I even felt sad once I finished it. yea, it's really that good","Was this review helpful to you?"
"Malik Zeeshan","a year ago","UbiSoft got idea of this 2.5D game from Ori and the Blind forest its almost same concept game but with different story i like this game 
9/10","Was this review helpful to you?"
"ray miki","a year ago","This game is really great and it has very good Persian dubbers, which makes the player communicate more with the game environment","Was this review helpful to you?"
"AliReza K","a year ago","stunning level design. fantastic game art. never boring game play. bravo","Was this review helpful to you?"
"William Chayer","a year ago","Gameplay is crisp and fun, the audio is magically. It’s just a straight up good time.","Was this review helpful to you?"
"Eklund C.A.G","a year ago","This morphed-game it's not a Prince of Persia game. Those past PoP are very good games... This is not. 👎🥱","9 people found this helpful."
"Leo EP","9 months ago","Back to the roots. The game is challenging if you tune it to the right difficulty level. It has some bugs, but fortunately  these were solved by Ubisoft team quickly.","Was this review helpful to you?"
"Thinh Le","2 months ago","+ Basically 1 of the best Metroidvania stype game.
+ Amazing art
+ Great boss fight
+ Satisfying combat","Was this review helpful to you?"
"Chris murdock","a year ago","Was not expecting this game being this great. Hope they have some kind of DLC or are working on the next one.","2 people found this helpful."
"MOHAMED Yahya","a year ago","Old memories comes back, game play was perfect, game scenario was perfect, strong bosses also the challenge puzzles in totally the game disserve best 2d game for year 2024.","Was this review helpful to you?"
"Jozsef Domonkos","3 days ago","I bought the game, i wasn't expecting a side scroller. I wanted to get the Platinum trophy, and there is no way I'm gonna ever Platinum it, waste of money for me.","Was this review helpful to you?"
"Omeed","a year ago","Great game. You can tell a lot of love was put into the making of this game!","Was this review helpful to you?"
"bamdad game","a year ago","This game is great and the return of Prince of Persia after 14 years is very good news for fans of this series.","2 people found this helpful."
"Chris Rebellion","a year ago","It’s pretty addicting i’m mot gonna lie. Finished the story but I wanted to finish the side quests too!","Was this review helpful to you?"
"mehrshad ebadi","a year ago","As a persian, the story does not make much sense for me. The gameplay was ok and the fighting is the positive part of this game","Was this review helpful to you?"
"BK Shoes","a year ago","ITS MY FAVROUITE GAME AND I AM WAITING FOR THIS GAME
I LOVe it PRINCE OF PERSIA IS MY FAVROUITE GAME

MY PC REQUIRMENTS 
I3 2ND GEN
4GB RAM 
NO GRAPHIC CARD 
CAN IT RUN THIS GAME","5 people found this helpful."
"Cordero Core","a year ago","I'm quite sure this is going to be one of the best of the best thus far, love prince of persia ‼️👍🏾","2 people found this helpful."
"Manish Aggarwal","a year ago","One of the best games by Nintendo. Excellent graphics, multiple levels and challenges.","1 person found this helpful."
"Brandon Hawkins","6 months ago","This fucking game sucks how do I get a refund. The demo was a fucking lie, this shit is rediculas. I’m done with Ubisoft fuck yal.","1 person found this helpful."
"Kkizto Andrew","2 weeks ago","an absolute masterpiece. this game deserves all the high praise its getting.","Was this review helpful to you?"
