"FmcO7b","vWB2ve","T7nuU 2","gjvCCd"
"Maxx Nieves","5 months ago","Very fun and addictive, surprisingly difficult, loads of options, the story is interesting, great cast of characters. They nailed it for me, any fans of Persona need to play this game.","4 people found this helpful."
"Crystal Rain","5 months ago","Amazing game! I recommend this game for everyone. The only thing that needs help is the music. Anyone who says it’s perfect has issues lol otherwise it’s the perfect game!","3 people found this helpful."
"Logan Johnson","2 weeks ago","One of the best games I've ever played, as someone who loves the persona series, this game is a step above what they had to offer, i really hope going forward they will continue to improve.","Was this review helpful to you?"
"Mike Martin","5 months ago","Yall really gonna lower your standards this far? This is considered quality now? As a life long rpg fan from the 80s..... I'm out. I'm done fake gamers can have the industry. I'll go read until you all decide to ruin that too.","10 people found this helpful."
"Dalton Land","3 months ago","Absolutely phenomenal and so so slept on. Deserves so much more fame and love than it gets, probably because people don’t like to play “anime games” for some reason. Shoulda won GOTY imo.","Was this review helpful to you?"
"Gerry Selas","5 months ago","Good story, innovative gameplay, played the demo and thinking to purchase the new version. The archetypes are cool though. You dine us a great game, atlus","3 people found this helpful."
"Rebecca","3 months ago","I am so beyond BORED with the dialogue/story. I have put 22hrs in so far, and it’s been walls of boring text, and one measly dungeon. When does this game get fun?!? Maybe it does? I’m quitting bc I actually nodded off once during a never ending dialogue exchange.","Was this review helpful to you?"
"chris tapper","4 months ago","Absolutely beautiful cinema 
You will not regret buying it
So much fun 70 hours i do believe 
Need more stuff like this
Original stories
Anime need to stick to original stories like this
Well done","2 people found this helpful."
"Kirsten van Jaarsveld","4 months ago","I'm baffled by the review scores. The game reads like a teenager's fanfic magnum opus, the characters are entirely one-note and the exposition dumps many and boring. The writing is generic and bad.

It's not entirely awful, but GOTY? Hell no. 7/10 at best. What is everyone smoking?","4 people found this helpful."
"X I N I T I I","5 months ago","The perfect blend of JRPG elements and a true culmination of 35 years of Atlus' RPG titles. If you are a fan of JRPGs, you owe it to yourself to play this.","5 people found this helpful."
"Marina Adams","5 months ago","Have just started but the game is amazing so far. Perfect mesh of persona and SMT! The voice acting is amazing.","2 people found this helpful."
"The Git Gud Grrl","2 months ago","This game is one of the best turn based games I've ever played, the character design is amazing. The story is preem and the gameplay is addictively fun.","Was this review helpful to you?"
"aokiji kuzan","5 months ago","Repetitive game with bad dungeon design and tedious never ending dialogue. This game brings nothing new to the table and recycles the usual JRPG tropes and Atlus formula. Characters are alright to say the least , combat is dull and the archetype system is poorly designed with multiple hours being needed to max them out.","4 people found this helpful."
"Dark Link","5 months ago","If you love persona...this game is little bit better ... its pushes it's boundaries on combat, with hybrid twist...this has  to be game of year candidate. Bought it on pc... because Microsoft did marketing for the game... also available on ps5, Xbox... possible coming to switch 2....possible double dip if theres collectors edition on switch 2.","1 person found this helpful."
"Adam McMillan","5 months ago","I personally think it may be the best game Atlus has produced so far. Which is outstandingly difficult to do since they have a few games that i think are perfect.","3 people found this helpful."
"Joshua Goodin","5 months ago","Wonderful game! Also many similarities in function to P5. If you are a Persona 5 fan this is a must play.","1 person found this helpful."
"Aarav Bhoir","4 months ago","Just filled with amazing detail and art, just like it's Persona roots. Even the pause menu is jaw dropping!","Was this review helpful to you?"
"Dando Skyballer","4 months ago","The game is incredibly unbalanced on Normal difficulty setting.  I either 1 hit ko everything in open world, or get stuck on every 3rd dungeon boss.  This conflicts with the calendar system implemented into the game.","2 people found this helpful."
"Brett Krasusky","2 months ago","I didn't know if they could top persona 5 but with the beautiful art style and phenomenal soundtrack I believe Atlus hit the mark.","Was this review helpful to you?"
"Cindy Castanares","5 months ago","Such a different take on a fantasy world with familiar qualities as persona. Love the characters development and storyline!","3 people found this helpful."
"Kap","5 months ago","It changed my life. Everything about this game is incredible. Game of the decade. Game of all time.","Was this review helpful to you?"
"zxRainbowMouse -","3 months ago","Very captivating story very much like persona games from atlus but more heavy on the story and with a twist definitely recommend","Was this review helpful to you?"
"Brian Diggs","5 months ago","An amazing game that feels like the natural successor to the Persona series. Feels like a Tales Of Series with SMT/Persona elements embedded into it.","2 people found this helpful."
"Jade -Viper","4 months ago","Absolutely brilliant! A gripping, gorgeous and challenging game. Atlus is in a league of it's own.","Was this review helpful to you?"
"eduardo solamillo","5 months ago","If you first time played SMT IV without any prior knowledge to SMT series games, and loved it, you're going to get that vibe here combined w/ persona. THUMBS UP to Atlus.","Was this review helpful to you?"
"laytonlover 23","2 months ago","One of the greatest RPG of all times.

Already waiting for remaster so we can have better grafics, lol","Was this review helpful to you?"
"James McGuinness","4 months ago","I never played it before but it looks amazing amd i want to try it becuase it looks like early 2010s anime games","Was this review helpful to you?"
"ivan velez","a month ago","Game would be so much better if you didnt have to worry about your time management really hate this feature it completly ruined the game 4 me","Was this review helpful to you?"
"Game videography","5 months ago","If you like Atlus games or just RPGs in general this game will definitely leave you feeling satisfied.","4 people found this helpful."
"Dark Mode","3 months ago","Peak, if you like any of the SMT games you will for sure love this one by ATLUS","Was this review helpful to you?"
"Dicky Ramadhan","4 months ago","The Best Atlus game for now. The soundtrack and story is just perfect🫡","Was this review helpful to you?"
"Jason Rublee","a week ago","All around Incredible game. Among the best I've played","Was this review helpful to you?"
"James Dodge","5 months ago","About 10 hours into the game someone uses the move Fishy Fandango. I hate this game now. Returning it to store later.","7 people found this helpful."
"Luis Fernandez","4 months ago","Great game. A must play for JRPG fans.","Was this review helpful to you?"
"Christian","3 months ago","Game of the year. Havent finished games nowadays but this got me hooked.","Was this review helpful to you?"
"Glenn Orr","5 months ago","Great game! It has surpassed my expectations!","Was this review helpful to you?"
"Dullah Al","4 months ago","Story, voice acting, art style, music. 
A new masterpiece I have enjoyed immensely.","Was this review helpful to you?"
"Tevin Whittaker","5 months ago","Hands down game of the year in my opinion. Only downfall is no romance.","Was this review helpful to you?"
"SINA FARD","4 months ago","A unique game in every way, truly the game that changed my life","Was this review helpful to you?"
"Alina I","4 months ago","Amazing game, one of those that you know you'll miss after you've finished it.","Was this review helpful to you?"
"Sean Halk","4 months ago","Knew this games characters would look like shit just look what happened to persona 3 reload bought ys Nordic instead","3 people found this helpful."
"Erick Hernandez","2 months ago","Best jrpg of 2024.   Recommended.","Was this review helpful to you?"
