"FmcO7b","vWB2ve","T7nuU 2","gjvCCd"
"Vaniel Smegan","9 months ago","Loved the first game and was really looking forward to this. Sadly, it's a linear walking sim with repetitive, simple puzzles, non existent combat and gameplay (it's literally walk, talk, cinematic, repeat) and a gorgeous but sterile and restrictive environment you can't explore or interact with.

Half of the dialogue is pretentious non sense and the overall story is maybe 2-3 hrs that is padded and slowed down to make it last 5-6 hrs. The constant ""chatter"" in Senuas head gets pretty annoying, adds little to her character, and becomes a distraction when trying to listen to the general conversations. Use it tastefully to provide perspective, depth and highlight inner turmoil. Not every. Single. Sentence.

All it has going for it are the graphics and audio. Feels more like an art project or a demo for the Unreal Engine than a game. Glad it's on Xbox Game pass - would have sucked to pay full price for it.","4 people found this helpful."
"E H (El)","10 months ago","I played the first ons and was so exited and this did not disappoint only one collectable like the first one so you have a better experience actually playing the game and following the story, wish other games  followed this play style with fantastic story and fighting and less nonsense content filling with 1000,s of collectables. 
Story great looks amazing fights are good to the combat is harder than the first hellblade but to be fair it should be. Thanks for another amazing game loved it","Was this review helpful to you?"
"Ralph England","10 months ago","Graphics are amazing.

Gameplay is awful.  The combat in the first was simple, but elegant and surprisingly skillful. In the sequel it's awkward and artificial. Your move set is smaller, strategy very limited. Enemies face you 1v1 despite times when Senua is surrounded. 

The story in the first was great- touching, relatable,  well acted. You were never sure of what was real or not. In the sequel the supernatural is confirmed to exist, making the psychosis Senua suffers from a gimmick- a cheap set of voiced in your ear- rather than a driving force behind the action and gameplay.

And you're forced to walk so often. You can HOLD the SPRINT button to walk slightly faster. The 5 hour run time could easily have been 4 just by letting you run more often.

Don't buy. Play on gamepass if you have it. If you don't have game pass you're not missing much.","11 people found this helpful."
"Erik Lunde","9 months ago","After a rather miserable start, both thematically and mechanically, the game finds its voice(s) many steps later, when a poignant tale of psychological freedom emerges. In the first game, Senua confronts and overcomes the demons in herself, and now this game pivots to her helping others to do the same. The ending blew me away in terms of how deep the characters and their experiences go. I will never forget the line ""you must show them a different way"" in the context of dealing with psychosis, breaking free from a brutally dark past, and turning away from the path your ancestors carved for you. While I wish this had been the focus from the start in this game, the final two chapters displayed a mastery of scripting, A/V direction, and game design I won't soon forget.","Was this review helpful to you?"
"DMX 2K20","9 months ago","This is a great game. I loved what they’ve done to increase the graphics and audio, it was phenomenal playing this game, a truly immersive experience. However, I didn’t like how you can only fight one person at a time, but the combat was for more fluid and realistic. The game being only 6 hours is a bummer, but the story was in fact amazing. I would give this a game 8.5/10","Was this review helpful to you?"
"Josef El Finito","3 months ago","Ninja theory, really? This is what you developed for about 7 years?

Dumb
Uninspiring
Lack of creativity 
Copy and paste
Boring walking simulator
Poor story
Too much talking 😡

I see some clowns saying ""if you like the first game you're gonna like this as well"". No, I love the first hellblade and I hate this garbage. 5 star reviews from blind idiots that knows nothing but pretty graphics and visuals.

Hellblade 1 has a soul. It felt pretty original and authentic, quality binary sounds, great story, 2 enemies at a time and clean combat.

 I thought HB2 was really going to improve from the first one, come out strong as a rivalry with sony's god of war but failed big time. What is this? God of war succeeded because of the gameplay, the last of us 2 succeeded because of the gameplay even though some folks don't like the story but they still find the gameplay fun. 

Ninja theory; I want to play a game, I want to play gameplay not empty and boring good looking graphics and visuals. This is really bad. 99 percent walking, 1 percent combat. Lazy ass developers spent 7 years developing pretty graphics. 

Glad I got it for free. Don't waste ur money on this crap, just watch the game on YouTube. Believe the 1 star reviews. If you want to play hellblade just play the first one. I don't know what this is. 🤦‍♂️","1 person found this helpful."
"Eric Wells","10 months ago","Some of these reviews are hilarious. I read one that said this game is super immersive. Just wow. This game is far from immersive. It's basically a really good movie. A pretty gnarly movie. There's not much gameplay other than walking around. The combat looks super cool, but is very basic due to there being only 4 buttons you need to push (parry, dodge, attack, and heavy attack). There's no skill tree, no weapons upgrade, or character building. You're basically walking through a super gnarly movie with the occasional puzzle and occasional combat. This could have been a great game, a masterpiece. However, they decided to make a movie instead. I'd recommend playing it if you have game pass and you're in a chill mood looking for a good movie to watch. I'd be upset if I spent money on this game though.","1 person found this helpful."
"Vinnie Barberino","10 months ago","Unbelievable gameplay! I have been waiting for a game like this for a very long time. Thank you xbox studio and Ninja Theory . We need more!!!!! Dark theme and great continuation of the first game. Graphics are A+. Great showcase for the tech. Played on both console and pc. No problems. Day one was amazing. Can wait to play tomorrow.","3 people found this helpful."
"Boston Stevens","10 months ago","There are many things I loved about the game. The graphics are incredible, the game ran very smoothly, and the combat was alot of fun. There is many things that they changed compared to the first one. In the first Hellblade, if you died to many times, you had to restart the entire game (I completed it my first playthough). It made the game way more intense and I loved it. It was way more challenging fighting multiple opponents at once. The bosses in the first one were incredible as well, but this game didn't have any boss fights with special moves and the combat was very easy. It was like playing through a 6 hour movie. I still enjoyed the game alot even though it was short. I recommend playing the game even though it doesn't come close to the greatness of the first game. (Also I have Game Pass, do not spend $50 on this game)","1 person found this helpful."
"Richard Inks","10 months ago","Waited years for this and all I ended up with was disappointment and regret. One less Game Pass PC subscriber. What is even going on at Xbox any more? This will need to be multiplatform to save the money Microsoft is losing by paying the devs and having it on Game Pass for $10 with every other game. At least with God of War I got to play the game after a long cutscene. This game... it's basically playing The Order only with less action. Sure, it's sort of cerebral, but this was done in the first game. Was hoping for something new and fresh, like a take on a female viking version of God of War, but no. Super linear, on rails walking simulator with frequent cutscenes to show off where all the money went: facial animations. It sure wasn't spent on gameplay or other graphics. Everything is so blurry and muddy, I can't imagine playing it on Series S let alone X.","17 people found this helpful."
"Tiara Stork","10 months ago","Definitely a major improvement from the first game in terms of battle play. Graphic are amazing too. So far the story telling is interesting and has some depth to it.

Definitely been worth the wait!

The voices are much more of an improvement as well, you can actually hear what they are saying and there are good voices and then the more negative voices.","18 people found this helpful."
"Kevin Overstreet","10 months ago","Wow. Just finished the game and the ending really made me cry. One of the best of not the best game I’ve ever played. One of my buddies was over at my place and I was showing him the game, he literally asked when the cutscene would be over while I was fighting people. A cinematic masterpiece and such a compelling story. I’d recommend this to anyone who likes any video games at all","Was this review helpful to you?"
"Theo Birdsong","9 months ago","I’ve been watching the first trailer from the Games Awards Show that they Xbox had announced back in 2019 hundreds of times.

When I finally had a chance to play it on Game Pass, this game really blew my mind.

I played it and went through the end. I give this game a 10/10.

This is a must-play I would recommend playing.

I would also recommend playing with headphones on. Cause the audio and sound is awesome.","Was this review helpful to you?"
"Thomas Blackler","10 months ago","fantastic game, and another treat to be able to download and play a game through gamepass. 
If you are looking for some entertainment, look for the 1 star reviews and you can even see how these people reviewed other things. Its absolutely hilarious to see how Xbox is living so rent free in some peoples minds they go out of their way to review bomb something. Imagine being so petty and pathetic. I'm looking at you Links. Hopefully you can grow up one day and not let things bother you so easily.","Was this review helpful to you?"
"mh dev","6 months ago","hellblade 2 is the best 2024 game so far with it's mezmorizing and psychological story and amazing graphics it really stands out among rather bland xbox exclusives. the gameplay is limited however the musics and voice acting is one of the bests I've seen. the game is far too demanding and unoptimized on pc and it drops to below 10fps occasionally nevertheless I'm glad it was released for PC. definitely worths buying and experiencing with discount or game pass.","Was this review helpful to you?"
"Kelli Welsh","9 months ago","This game is an experience. I have never cried after finishing a game but did upon finishing Senuas story. What a beautiful and emotional journey. I could have played this game for so much longer but you can feel the love and effort put in to make this game what it is. Nothing I've found compares to this. Absolutely love it and will play through many more times. Thank you Ninja Theory for this gift. I struggle to even call it a game.","Was this review helpful to you?"
"Doublec80","2 months ago","This game got unfairly criticize. It's definitely a beautiful game with next gen graphics and the story is also well done. I truly enjoyed the puzzles and the combat is definitely a step up from the previous version. The story truly opens up the more you play. Excellent game! Highly recommend for gamers that want to experience something unique!","Was this review helpful to you?"
"Tangent Smith","10 months ago","Why not to make a movie if you have no idea how to make games!? Gameplay!? Excuse me? Never heard of it!
All the same photo scanned stone corridors are primitive and tasteless. There is no style, no eye-catching locations, no proper combat system, no interesting quests there is literally nothing and the more time you spend in the game the more boring it gets. The plot is primitive too and it is more like you get a Spanish shame feeling. It is a pure cringe. Uneducated and intellectually empty modern people that know nothing about todays reality about what is going on people that know nothing about our history pretend they can teach you something. What a shame. Even recently released Indika is more game while it has cool locations, awesome style and even some stupid but fun moments. The cheap indie game that cost pennies and has its own problems is more like a game that should have been developed by NT while what we've got from NT in fact is a downgrade of their first game.","7 people found this helpful."
"raider wrong","4 months ago","After playing the original, I was really looking forward to the sequel. And I'm happy to say it was worth the wait, for the most part.
My gripe with the game is combat. Sadly I feel it's not up to par with original. I found combat to be repetitive and with no way to level up throughout the game it becomes stale by the end.
However the game is more like a piece of art, and having said that I can see why combat is the way it is.
So onto the positives, graphically the game is amazing, I think it's the best I've seen in the latest console generation, I often find myself pausing to take in the view. The lighting is beautiful as well as the weather effects, I really was taken away with how well they've done. The sound is also masterful, playing with a headset is a must! 
I did see alot of complaints with how short the game was, but I found it to be longer than expected. Overall this is a game you should experience.","Was this review helpful to you?"
"Deana Anne","8 months ago","It was at best, okay. I loved the first game and was really excited for the second. The second wasn't nearly as good as thr first.

What I liked: it's a great atmosphere. It's creepy and beautiful at the same time. The actors did a fantastic job and you can tell they gave it their all. The graphics are also beautiful. 

What I didn't like: most of the game you are just walking or watching a cut scene. Like 80% of the game is just cut scenes and walking without really doing anything. I even found the combat frustrating because it's constantly switching between cut scene and combat. When you are actually playing the game it's just some simple puzzles or repetitive combat. For a full $70 cad game, it was really short. Like 7 hours.

In short, it felt like a step back from the first game. If you want a walking simulator through a creepy and interesting world, then you'd love it.","Was this review helpful to you?"
"Mike","8 months ago","After playing the original Hellblade, I was eagerly awaiting the release of this sequel. The graphics are absolutely stunning and the fact that its running in real time is a technological feat Ninja Theory should be proud of. The sound design is also exceptional and this game MUST be played with headphones to get the full experience of Senua’s thought process. 

Unfortunately I found it hard to really engage with the story as there are definitely pacing issues with the game. At some points, I was so disengaged with the story that I had to take a break from the game. The level design had many long sections of walking, which made going from one event to another rather painful. There were several points in the game where I could see how far I had to walk and let out a big sigh. I also found I was constantly holding the run button as Senua’s movements are way too slow. Her jogging speed should’ve been her walking speed. They really need to have an ‘always run’ option in the game. 

Speaking of events (puzzles and combat), they were few and far between. The combat is a major downgrade from the first game. I can see what Ninja Theory was trying to do with the combat to make it cinematic, but it ends up being extremely repetitive, linear and stale after a few encounters. The puzzles were simplistic and the fact that, again, a lot of walking is involved, made some of them rather painful. 

Ultimately, this game was a disappointment and serves as a good example that graphics mean nothing if gameplay isn’t up to scratch.","1 person found this helpful."
"Douglas Bade jr","10 months ago","Emotional journey , through a narrative driven adventure game . Elements of puzzle , traversing and combat tossed in the mix . Much like Hellblade 1 , the game tosses you in Senua's shoes really well . Immersion is peak here , audio , enviornment and visuals are S tier . The runtime is a smooth 8hrs or so , enough to go back more than once but not too short . The game itself feels like a love letter to the first game and Iceland","1 person found this helpful."
"Travis Golden","10 months ago","I bet this got a lot of people to sub to gamepass. just felt like it was too short. The combat system is super unique which is why I wish they would expand on the game somehow. 

*spoiler alert*

Kinda bummed we couldn’t actually fight the giants on some God of War type sht that would’ve been awesome. Very much enjoyed the horrifying and beautiful range of audio/visual experience this game had to offer.","Was this review helpful to you?"
"Jack Reeman","10 months ago","It's a shame Microsoft can't do more like this!

The Senua series is nigh on perfect, there's very few things that's can be picked at. 

From the story telling, to the visual, to the audio, it's fantastic. I'm struggling to write a long review without having spoilers. So please go and experience Hellblade 1&2 yourself, you won't regret it!","1 person found this helpful."
"Terry Foster","9 months ago","If you are playing on a stupid 19 inch PC monitor and yeah I can understand why you gave this game low reviews. This game was phenomenal and someone like me who is a true gamer who has a full 7.2 surround system can appreciate what the developers tried to share with us. This is a phenomenal game. Don’t listen to the little bitter PC gerbils.","Was this review helpful to you?"
"Jason Warner","9 months ago","Wondering how many bot reviews there are. I did play the first one. Don't recall it very well. This one however is so slow moving and they did it to draw the game out. I can't play very long without drifting off. The game itself looks good visually and does have very nice textures and reflections off water and so on. It is extremely linear. Like a straight line. There is plenty that could've been done to make the game more exciting and kept the story and prove the points they wanted to. I only continue to play because there is nothing new that is good at all and hasn't been for a while. Games have gone down hill for yrs now. Hopefully the don't mess up fable 4.  With today's technology that game should be goy when it comes out.","1 person found this helpful."
"E M","7 months ago","I only played about 1 hour of this game but it was enough for me to decide that I did not want to go any further. The puzzles for one are terrible. When it becomes tedious work, what is the actual point? And the combat has not improved from the first one. I should also specify that I only played about 3-4 hours of the first game and put it down because of the whole voices talking in my head thing. It was annoying and it’s even worse in the second game. It’s disappointing because I was really looking forward to this game. It was my last stand so to speak on what Xbox can bring to the table. After this game I have since sold my Xbox Series X. Two stars since the graphics were decent but not the best and certainly not as good as they hyped it up to be and also because it was on gamepass, so it saved me money.","1 person found this helpful."
"rob hayman","10 months ago","One of the most amazing games you'll ever play. Both one and two are so immersive into what it's like to have mental illnesses. Tied in with an amazing story line, it's the game equivalent to being transcended by a Tool Album. Amazing!","1 person found this helpful."
"Justjoe Inc","9 months ago","Don't get me wrong. I understand why others might give this more stars. It's a great story, that draws you in. The visuals and sounds are spectacular. However, it's very limited as far as the play goes. There's some minor puzzles, but not much to explore or unlock.  If you want an easy playing story, then it's for you. I want a lot more options in my AAA games.
For more detailed reviews, go to YouTube 
Justjoeinc","Was this review helpful to you?"
"Adam Rees","10 months ago","The first one was amazing. Unfortunately this new release is poor at best. Its clunky and lost all its edge. To sum up its a 30 minute campfire story stretched out into 6 hours of bland and boring gameplay. The voices mearly natter away instead of the warnings and hints like they did in the first game. The fighting is sparse and when it is there very clunky and awkward. The final nail in the coffin is the total lack of shock and horror that was a total rush and left you wanting to see what happens next. Instead your left chugging through it hoping it will pick up then its the credits. Its a shame I had high hopes for this and its simply been disappointing at best","5 people found this helpful."
"J Taylor","10 months ago","One word I'd use to describe this game is... DRAINING. It's a chore to play and gives back little other than pretty graphics. It isn't engaging and far from fun, you know, like a game is supposed to be. It drags you along through a mundane world filled with persistent head chatter and lame puzzles. They needed to dial the psychosis feature back because it has completely lost any charm it may have had when introduced in the first Hellblade. Amazing graphics but I'd rather play Pac-man. I know that one star is harsh but five is too kind, knocking it down a bit.","7 people found this helpful."
"Michael Obeng","8 months ago","The game is just brilliant the audio and cinematic was outstanding I started playing and did stop until I finished the games in one day. Normally I get bored the move on when playing games but this game kept me immersed and made always curious to see what happens next. I love and will probably 100% the game.","Was this review helpful to you?"
"Sidney Hemphill","10 months ago","This is a peak interactive film. The story and acting performances deserves all types of awards. Some were expecting this to be Xbox's God of War and Hellblade was never that. 

This game is more comparable to the TellTale games and is great for casual gamers or introducing non gamers into the hobby.","1 person found this helpful."
"Jonathan Drinkwater","10 months ago","I think i just played this game to see what it was like and carried on playing to see if it gets any better. A few good puzzle challenges but not really hard to do. I wouldn't buy the game as its not really worth it. I only downloaded it as it was free with game pass. Takes about 4 hours to complete. No actual skill or thinking required. The voice in game can get pretty annoying after a while. Had to play in a dark room as some of the chapters are quiet dark. The sword fight scenes are all the same. The achievements are easy to achieve. Overall its only worth a days worth of game play. After that its not really worth loading it back up again","1 person found this helpful."
"Dorian Amos","8 months ago","Absolutely amazing. My god I am impressed. Absolutely impressive. I've played Metal Gear Solid, Spider-Man, God of war, Gears of war. Hellblade 2 is extremely good.....extremely. This may be the best game I have ever played. Thank you to the team that put this masterpiece together. Wow, my goodness.....wow.","Was this review helpful to you?"
"Dan Muller","8 months ago","I've played Senua's sacrifice, even watched the dev diaries and it left an unforgivable impression. I recommended the game to all my friends saying that it's a piece of art. 

Now I play the Saga and I just feel stupid. I can't get myself to play the game. The annoying puzzles are still as annoying as they were before. Were the voices that bad in first game too? They don't bring the psychotic vibe, they make me feel like a dummy player that needs to hear voices to remember what happened few seconds ago.

So far it feels like all the bad parts are either still there or even amplified while I struggle to see the good. Where is the progress? It's just not believable let alone immersive. I wasn't thinking about the story I was thinking whether the game would be more enjoyable without the annoying voices. It's not an integral part of the game, it's a distraction...","Was this review helpful to you?"
"Morgana Watson","7 months ago","As a player who rates HB1 in my top 3, I'm so disappointed in Hellblade 2. It's horrible and everything that 1 isn't.

It's painfully slow, combat mechanics are mud, and the gameplay overall was so unbalanced. No flow, whatsoever.

It feels like they wanted to make a longer game but instead of thinking of tasks or an adventure, they just made everything you do like trudging through mud. This makes the voices triggering - whereas before they were an insight and experience into mental illness - now it feels like the game is trying to incite mental illness.

This completely lacks the magic of the first and I hope they move on and don't make a 3rd. I was so bored 6 hours in, I just gave up - and that's not like me...","1 person found this helpful."
"Bright Skies","8 months ago","The best looking game to date. A mastery of the art of interactive entertainment and cinematic experiences. Enthralling in every sense of the word. The music is phenomenal, the acting is astounding and the visuals are next level. My favorite game studio and the most impressive looking and sounding game to date. Couldn't put it down.","Was this review helpful to you?"
"Scott K","9 months ago","It is a walking simulator.  Ever wanted to just walk, and then walk more.  This is the game for you.  Combat is horrible.  Its constantly talking to you with no hope of really making sense.  The 3 voices that talk non stop contradict themselves constantly.  Nobody really knows why you are there.  You go find these hidden people and basically they supposedly help you and reward you with a waterfall scene.  Not sure how that was a reward.  Its got its charm, i only kept playing because I thought it would eventually reveal itself to be a cohesive story.  It never really did.  You may like games of complete nonsense and thats fine. Wasn’t really all that fun.  Did I mention you get to walk a lot?   It might be difficult to have a conversation with the people who came up with this story.  They probably need some counseling.","8 people found this helpful."
"Cut wir3","5 months ago","Seriously to me it’s the last genuine meaningful artistic experiences people will have with gaming for the next 6 to 10 years aside from Silent Hill 2 remake coming out soon. The soundtrack to hell blade 2 is beyond the bar. It’s some of the most moving honest and philosophical insights that one could grasp from just sound alone.","Was this review helpful to you?"
"fernando Lobo","4 months ago","I mean, wow. In 20 years you will remember back and say ""men, what a crazy awesome ride""
Warning, this is a story, intense, gore. If you only play FPS or GTA style of games, Hellblade is not for you.
USE GOOD HEADPHONE, the voices and sound will enhance the experience.","Was this review helpful to you?"
"Carol Thompson","5 months ago","I just don't feel it. Don't get me wrong it's a beautiful game. The first one was a masterpiece that truly made you feel immersed in the madness and the darkness. In this one they took the rot away, so your sense of urgency not to die is taken away. While the first one was way too heavy on puzzles it still had something that this one is just missing.","Was this review helpful to you?"
"Jeremy Carlson","9 months ago","I'm sorry, I have too (respectfully) disagree with the other reviews.  Gameplay, audio and visuals of Hellblade 2 are top notch.  No argument there.

The problem I have is that this is literally Hellblade 1.5.  Zero effort was put in by the developer to excite the player into this game.  Absolutely no new game mechanics, tactics or abilities were added.  Combat is exactly the same.

Hellblade 2:  Walk around finding lame collectibles, listen to Senuas voices, watch cutscene and every now and then you have some (which quickly became boring also) combat.  Save yourself the purchase price.

I loved Hellblade Senuas Sacrifice.  But after playing  hellblade 2, I'm sorry.  I lost all respect for the title.  Ninja Theory, put in some effort.  We all don't play Minecraft or the Sims.","3 people found this helpful."
"Muhammad Adil Zulfiquar","9 months ago","I've waited a long time for the sequel and its great. Best experience you can ask for. 

Pro tip: get a very good pc rig to play this masterpiece. It'll drain a lot of power from your pc.","Was this review helpful to you?"
"Neithan Vova","7 months ago","Wonderfully done once again by ninja theory. Very memorable story and breathtaking scenes. 4/5 stars only because some parts of the game did feel a tad bit drawn out. 
I strongly recommend this series!","Was this review helpful to you?"
"Christian Evans","10 months ago","The graphics are the only reason I would give the game more than 1 star. The game was beautiful to look at which is good because thats literally all you do is look at it. The cutscenes are not able to be skipped and you have to watch everything. Felt forced with no gamers enjoyment or creativity. The voices in her head as you walk drove me nuts. The graphics would be more enjoyable with free roam capabilities. Instead of giving us a game to play what we have here is a movie with analog sticks.
   Just make it a movie and be done with it.","4 people found this helpful."
"Caleb Davis","10 months ago","A beautiful experience. It may be a shorter game but I feel it really pulls you in when you wear good headphones. You get to take everything in and really enjoy the story that’s been laid out for the audience","1 person found this helpful."
"MaD 3D","10 months ago","this game has only high graphic nothing more
even on graphic its not too much. only rocks & good lighting
thats all
game is like 4 or 5 hours but first 20 25min of game u just walking around 
next u fight same model bald guy 5 6 times
in about 30 35 min of game. u fight first boss 
who has only 2 3 move & even on hard its easy beat him
u just need good timing for block his sword & next attack
fight is very slow 
im sure microsoft money & reviewers with xbox name sites
helped this game get meta 81/100
i just tell u somehting
dont waste ur 50 dollar","5 people found this helpful."
"Alex King","9 months ago","Glorified Walking Simulator, the dev's dumped every cent into graphics and forgot about the rest. Literally all you do is walk around and be sad/hear stuff. There is virtually no gameplay aside from walking, and you can't even really die. I'm so sick of companies pouring all the resources into a story and graphics just to try and win awards or whatever while the game itself sucks. They're called GAMES for a reason, like we want to play them, not press a thumbsticks forward for 9 hours","4 people found this helpful."
"Dil Afroze","10 months ago","Ever since I started university I barely get time to play games between studies and work. I think that is the main reason why i absolutely loved this game. It took me 4 days to finish the game with 2 hour play sessions. 
I understand the biggest problem here. The game is very short and the ending is a bit underwhelming but besides that I really loved this game.","Was this review helpful to you?"
"Sinead Jacob","8 months ago","Beautiful in story and visuals in equal measure. A truly unique gaming experience for me. The psychologically diverse element has been perfected in this instalment
Gameplay wise - perfect for a story mode based player. Cannot speak to other types","Was this review helpful to you?"
"Sandeep Pardeshi","10 months ago","Great sequel, to good to generate shivers through your spine. Game will take you to so many unexpected environments that you may feel like 'hell no way I wanna go in there'. Truly a masterpiece, you need to play it to feel it.","Was this review helpful to you?"
"Bailey Deiman","7 months ago","It's a great game until the halfway point, but it gets repetitive and boring.  The game developers missed a perfectly good ending point and after that point, you just can't wait for the game to end.  Would have been a five-star game if the developers had ended it when it felt like the end of the story.  It does have a very good portrayal of the mental illness they were focused on and it carries over a lot of great things from the original game.","Was this review helpful to you?"
"MiLLiE Carp","10 months ago","Absolutely stunning visuals thus far!!! Noticed a little bit of glitch when she cuts someone. It looks choppy. Other than that I LOVE it. It’s like watching a movie. She wields the sword like it’s super heavy. Swings it slow. Has to catch her breath. lol Insane graphics. Can’t say it enough. Idm the cinematic gameplay. It’s phenomenal. And, free on Gamepass so, no complaints on that either.","Was this review helpful to you?"
"John Padilla","3 months ago","The greatest graphics and fighting I've seen in a walking simulator. Because you walk a lot with nothing going on, and I mean A LOT. The fights I got into were fucking awesome, all 5 of them or so.","Was this review helpful to you?"
"Edrine Nollan","9 months ago","The second part has made made Hellblade better. The story is beautiful just like the first one, the voice acting is perfect, I missed those voices in her head. Kudos to all those that worked on this incredible project.","Was this review helpful to you?"
"Preston Waddell","9 months ago","Straight up most engaging and cinematically amazing game I have played to date. Put headphones on, turn off the lights, and enjoy this masterpiece to the fullest extent. It's like a movie you never want to end.","Was this review helpful to you?"
"Space Ghost","9 months ago","Lots of walking and jogging, good cardio for her. Fighting is repetitive. Voices are boring not like in the 1st one. Lots of boring boring boring story. Amazing graphics. Worth it for a buck. The 1st one was way better, this they spent too much time on graphics. This game is absolute poo poo. I fell asleep playing, but just kept my finger up on the stick and made it to the next scene. This should of been a movie instead","3 people found this helpful."
"Emmanuel Méndez","10 months ago","Kind of game you’ve got to dive into to fully enjoy it; it’s an extraordinary experience yet a short one.

Not everyone’s cup of tea, but I’d gladly recommend anyone to give it a try and really - really - get into it.
Definitely a favourite.","Was this review helpful to you?"
"Edward Charles","2 months ago","Playing the game right now. 
After finding it stupidly challenging, meaningless and boring, I find that it has no purpose. I keep playing because I were hoping it to get better but no. 
For a grungy game like this I was looking forward to a thrill. Instead I'm doing empty tasks that serve no intellectual calcubility. I'm walking around aimlessly hoping to bump into the right direction. 
The game is too dark. I have everything set to max brightness. I can't see a single thing when I need to the most, ending up missing my solution. Waste of time.","Was this review helpful to you?"
"Kristoffe Brodeur","9 months ago","This is far more than a game it's like a dream you encounter and want to make right. They're so much detail and beauty matched with horror I am in awe of this game. You really have to experience this is you can, the low the vibe is unreal.","Was this review helpful to you?"
"John Hazleton","9 months ago","Game of the year. The Pinnacle of fantastic storytelling and visuals combined on a level I've never seen before. One of the best gaming experiences I've had in the past 10 years. Games like this are what I wait for.","Was this review helpful to you?"
"S Rod","9 months ago","A beautiful cinematic game.  The story just as great.  For those giving bad reviews , you all are crazy and I say go back to playing Minecraft then.   Gameplay was limited but this was a beautiful game.","Was this review helpful to you?"
"Daniel Volosin","8 months ago","Should/Could have been a little longer, other than that it was an amazing experience!  If you're looking for a deep action game this one is not for you.  Visually the best console game to date!","Was this review helpful to you?"
"G o","9 months ago","Imma keep it a buck n give this game wht it needs…a boycott!! Yea the graphics are nice but Thts all it’s rinse n repeat the entire game ..the combat is lame the stages are lame nothing but rocks..rocks and more rocks with stupid puzzles and annoying white women talking to much..avoid at all costs unless it’s free ..hell avoid it then too..anyone giving this game a good rating must have been bought or they really love boring stories about finding giants names so u can fight them lol I see why Xbox suck this is why imma stick to the ps5","2 people found this helpful."
"Morcly","10 months ago","The game looks amazing and runs very smooth in my PC. The lowest FPS in a max ultra quality graphics is no less than 59 fps. Same concept than the 1st one but better graphics and more to the story basically. I do recommend it for PC players with a up-to-date PC.","5 people found this helpful."
"Lewis Soré","10 months ago","The game looks phenomenal , it's slow paced as the story builds up, but once you explore more of the game you forget its a game. How they managed to get this running in real-time is mindblowing...the audio feature is incredible...the gameplay is clearly not for everyone but it fulfilled it's purpose...thankyou Ninja Theory for this magical experience.","Was this review helpful to you?"
"Carolyn Dillon","10 months ago","I don't watch horror flicks and I am sift when it comes to human suffering so this game was a challenge If you are not a patient person thus game may be bit irritating for you because the action is few and far between The combat is challenging but never fear  there is a wonderful helper setting that I didn't discover til I was plenty frustrated and ready to quit lol  I'm sure this game is a cakewalk for some ... me, not so much The story is what kept me going !!!!","Was this review helpful to you?"
"Rich","4 months ago","This is among the worst games I've ever played.  It's a game that will have you wondering ""when can I play the game?""  It feels like your trudging through a swamp just holding forward on the joystick and pressing the sprint button barely has an effect.  Often times I wondered if I even needed to be using the controller...many times I didn't. The entire game is a somewhat controllable cut scene.  This game sucks","1 person found this helpful."
"Ahmed Rajput","9 months ago","to be honest im not happy with it i finished it yesterday game has so many great oppurtunity that developers lost first of alll its just a 5 to 6 hours of gameplay and about 80% of the game is senua walking and being sad . that game would be a hit if it has better fights and boss fights and imagine if its an open world game with tons of activity and stuff combat would be great if it was bit like god of war that game had potentail to be something great but in the end its just walking simulator .i was feeling good for about 2 hours then i was like oh my god when this is going to end .","1 person found this helpful."
"Landon Whitaker","10 months ago","Just wow!   This game is BEYOND beautiful and disturbing at the same time.  Must use headphones when playing it really brings u in.  Only thing bad I can say about it is that it is short.  Beautiful 💓💓💓","Was this review helpful to you?"
"Aaron dodd","10 months ago","HELLBLADE II REVIEW !!

( Prediction based 😎😜 4 hours to go) 😆 masterclass In storytelling, visuals, gameplay experience, topped off with an emotional and brilliantly handled deepdive and Enlightening insight into mental health. Enjoy 

Bang🗯 Potentially carved myself a Career in journalism. Watch this space 😆","10 people found this helpful."
"F Viveiros","9 months ago","My goodness...story, visuals amazing. Gameplay poor. Gosh I only wish Senua was more like God of War... it's like a movie with not much fun. Those puzzle to find the symbol, feels like a chore..  I want to stop playing everytime I come across one.. so boring!!!! Slow.. the combat is simple.  There is no evolving.. changing weapon.. getting stronger.  New moves.. 
I wish I could get a refund.","1 person found this helpful."
"Bongole Eldard","9 months ago","The story deserves an award though it was short, combat system is great though repetitive after some time , graphics are beautiful. The audio oooh God the audio it's the best I have experienced. This is a great game","Was this review helpful to you?"
"Ahmed Goran","9 months ago","People who call this game a “walking simulator” or an “interactive movie” have no idea what they’re talking about, as for the price, you could have gotten GamePass for a fraction of the full game’s price. It was an absolutely beautiful and amazing game in my opinion, great job from ninja theory.","Was this review helpful to you?"
"Reece Jones","10 months ago","Holy cheese balls what can I say that not already been said about this game is outstanding the audio the graphics the fighting it is all superb had me on the edge of my seat and I'm only 2 hours in just play it you won't regret it","Was this review helpful to you?"
"BABA YAGA","8 months ago","What I can say is that I am eagerly waiting for the third installment.
I wish someone would make some sort of web series on this game like witcher got and Cyberpunk in its development. Because masterpieces deserve this.","Was this review helpful to you?"
